23 Sep 2019 19:39:36, Gen 25, Species 0, finished with a score of 1507.00
23 Sep 2019 19:39:53, Gen 25, Species 1, finished with a score of 1712.00
23 Sep 2019 19:40:09, Gen 25, Species 2, finished with a score of 1100.00
23 Sep 2019 19:40:26, Gen 25, Species 3, finished with a score of 1026.00
23 Sep 2019 19:40:43, Gen 25, Species 4, finished with a score of 1113.00
23 Sep 2019 19:41:04, Gen 26, Species 0, finished with a score of 1138.00
23 Sep 2019 19:41:19, Gen 26, Species 1, finished with a score of 1083.00
23 Sep 2019 19:41:34, Gen 26, Species 2, finished with a score of 926.00
23 Sep 2019 19:41:50, Gen 26, Species 3, finished with a score of 1484.00
23 Sep 2019 19:42:05, Gen 26, Species 4, finished with a score of 1215.00
23 Sep 2019 19:42:33, Gen 27, Species 0, finished with a score of 1384.00
23 Sep 2019 19:42:55, Gen 27, Species 1, finished with a score of 1337.00
23 Sep 2019 19:43:16, Gen 27, Species 2, finished with a score of 1351.00
23 Sep 2019 19:43:37, Gen 27, Species 3, finished with a score of 1253.00
23 Sep 2019 19:43:59, Gen 27, Species 4, finished with a score of 1265.00
23 Sep 2019 19:44:35, Gen 28, Species 0, finished with a score of 1484.00
23 Sep 2019 19:45:04, Gen 28, Species 1, finished with a score of 1393.00
23 Sep 2019 19:45:32, Gen 28, Species 2, finished with a score of 1391.00
23 Sep 2019 19:46:02, Gen 28, Species 3, finished with a score of 934.00
23 Sep 2019 19:46:30, Gen 28, Species 4, finished with a score of 645.00
23 Sep 2019 19:46:53, Gen 29, Species 0, finished with a score of 742.00
23 Sep 2019 19:47:09, Gen 29, Species 1, finished with a score of 1341.00
23 Sep 2019 19:47:24, Gen 29, Species 2, finished with a score of 1658.00
23 Sep 2019 19:47:40, Gen 29, Species 3, finished with a score of 1176.00
23 Sep 2019 19:47:55, Gen 29, Species 4, finished with a score of 826.00
23 Sep 2019 19:48:17, Gen 30, Species 0, finished with a score of 1672.00
23 Sep 2019 19:48:33, Gen 30, Species 1, finished with a score of 1547.00
23 Sep 2019 19:48:48, Gen 30, Species 2, finished with a score of 714.00
23 Sep 2019 19:49:03, Gen 30, Species 3, finished with a score of 1039.00
23 Sep 2019 19:49:19, Gen 30, Species 4, finished with a score of 939.00
23 Sep 2019 19:49:42, Gen 31, Species 0, finished with a score of 1293.00
23 Sep 2019 19:49:58, Gen 31, Species 1, finished with a score of 1154.00
23 Sep 2019 19:50:14, Gen 31, Species 2, finished with a score of 1451.00
23 Sep 2019 19:50:31, Gen 31, Species 3, finished with a score of 1104.00
23 Sep 2019 19:50:47, Gen 31, Species 4, finished with a score of 907.00
23 Sep 2019 19:51:07, Gen 32, Species 0, finished with a score of 1373.00
23 Sep 2019 19:51:21, Gen 32, Species 1, finished with a score of 1379.00
23 Sep 2019 19:51:35, Gen 32, Species 2, finished with a score of 1084.00
23 Sep 2019 19:51:50, Gen 32, Species 3, finished with a score of 1175.00
